年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
2,3352045,01,民雄學．學民雄Minxiong Studies,管中祥 楊玉君,"3
            3/0/0",3,選修,"六7,8,9",社科院227,15,link,",列入本土語言與文化實踐學分學程科目1.上課方式及內容可能視狀況調整，請密切留意相關通知。2.課程說明會：9/13（五）下午1點於中正大學社科一館R227辦理。為避免對課程進行方式不清楚或誤解，請欲修習本課程者務必出席。未能出席請務必請假，以免影響權益。3.本課程採密集授課，除課程說明會外，課程時間集中於週六、日（詳每週進度）進行，預定上課地點包含校外（三興村、豐收村、民雄市區、西昌村……等）。4.中文系、傳播系合開課，不得重複修習。5.本課程為「重構大學路：認識、認同與共同計畫」一部分，計畫網站：https://dovoha.ccu.edu.tw/https://www.facebook.com/dovoha2018/"
2,3352046,01,影棚製作實務Television Studio Production,吳政龍,"3
            3/0/0",3,選修,"一10,11,12",社科院227-1,55,link,本課程同「整合新聞製作」，不得重複採計學分
2,3352052,01,基礎聲音製作Introduction to Audio Production,杜韋,"3
            3/0/0",3,必修,"一7,8,9",社科院207,50,link,限本系生修.本課程同科目編號3351029基礎聲音製作，不得重複採計學分。
3,3353002,01,校內實習（一）Campus Internship (I),吳政龍,"4
            0/4/0",2,必修,"二13,14 四13,14",社科院207,50,link,先修科目(3351026)新聞採訪寫作(及格) (3352036)影音新聞製作(及格) (只要符合任一先修條件)
3,3353010,01,創意策略與企劃Advertising Creative Strategy  & Media Planning,李政忠,"3
            3/0/0",3,選修,"二4,5,6",社科院222電腦教室,30,link,",列入創意創新創造創業學分學程科目"
3,3353018,01,"音樂、影像與展演Popular music, Film & Performance",簡妙如,"3
            3/0/0",3,選修,"二7,8,9",社科院102,24,link,"先修科目(3352022)流行音樂與社會(曾經修習) 限本系生修. ,列入「戲劇‧創意‧想像」學分學程科目"
3,3353022,01,華人電影專題研究Chinese Film Study,蔡崇隆,"3
            3/0/0",3,選修,"一7,8,9",社科院103,55,link,",列入「戲劇‧創意‧想像」學分學程科目"
3,3353024,01,數位媒體製作實務（一）Digital Integrated Media Production Pratice(I),吳政龍,"3
            3/0/0",3,必修,"四4,5,6",社科院207,50,link,先修科目(3351026)新聞採訪寫作(及格) (3352036)影音新聞製作(及格) (只要符合任一先修條件)
3,3353029,01,大數據與資料探勘Big Data and Data Mining,劉榮樺,"3
            3/0/0",3,選修,"三4,5,6",社科院222電腦教室,30,link,
3,3353031,01,基礎生成式人工智慧與內容產製實作The Fundamentals of Generative AI And Content Creation,劉榮樺,"3
            3/0/0",3,選修,"四7,8,9",社科院222電腦教室,30,link,
4,3354015,01,畢業製作（一）Graduation Project (I),吳政龍 張時健 蔡崇隆,"3
            3/0/0",3,選修,"三4,5,6",社科院207,50,link,先修科目(3353007)校內實習（二）(曾經修習) (3353024)數位媒體製作實務（一）(曾經修習) (3353025)數位媒體製作實務（二）(曾經修習) (3353002)校內實習（一）(曾經修習) (所有先修條件都必須符合)
4,3354017,01,融媒體製作Media Convergence Production,吳政龍,"3
            3/0/0",3,選修,"二10,11,12",社科院227-1,55,link,先修科目(3353024)數位媒體製作實務（一）(曾經修習) (3353025)數位媒體製作實務（二）(曾經修習) (所有先修條件都必須符合)
